2022-07-15 22:28:31,032 centralina.runtime_service INFO     ------INIT ARDUINO-----------
2022-07-15 22:28:31,037 centralina.runtime_service INFO     Start osmotica
2022-07-15 22:28:31,037 centralina.cloud INFO     ArduinoClient Started
2022-07-15 22:28:31,038 centralina.runtime_service INFO     Start vasca
2022-07-15 22:28:31,039 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:28:31,039 centralina.runtime_service INFO     Start giardino
2022-07-15 22:28:31,040 centralina.runtime_service INFO     Start LEDS
2022-07-15 22:28:31,041 centralina.runtime_service INFO     Start LAB
2022-07-15 22:28:31,041 centralina.runtime_service INFO     Start semenzario
2022-07-15 22:28:31,042 centralina.cloud INFO     ArduinoClient Started
2022-07-15 22:28:31,043 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:28:32,153 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:28:32,156 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:28:33,278 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:28:33,279 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:39,074 centralina.runtime_service INFO     ------INIT ARDUINO-----------
2022-07-15 22:29:39,080 centralina.runtime_service INFO     Start osmotica
2022-07-15 22:29:39,081 centralina.cloud INFO     ArduinoClient Started
2022-07-15 22:29:39,083 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:39,083 centralina.runtime_service INFO     Start vasca
2022-07-15 22:29:39,084 centralina.runtime_service INFO     Start giardino
2022-07-15 22:29:39,084 centralina.runtime_service INFO     Start LEDS
2022-07-15 22:29:39,085 centralina.runtime_service INFO     Start LAB
2022-07-15 22:29:39,086 centralina.runtime_service INFO     Start semenzario
2022-07-15 22:29:39,086 centralina.cloud INFO     ArduinoClient Started
2022-07-15 22:29:39,088 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:40,202 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:40,206 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:41,328 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:41,332 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:42,452 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:42,456 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:43,577 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
